patient_id,patient_name,ssn,dob,admission_date,discharge_date,diagnosis_code,age,gender,lab_value,outcome_readmit
P000081,Taylor Lopez,988-76-8262,1996-02-05,2020-09-07,2020-09-09,Z00,24,F,152.6,0
P000082,Riley Lopez,647-87-3085,1971-02-17,2020-04-27,2020-05-10,E11,49,F,70.6,0
P000083,Casey Smith,610-30-7990,2001-09-23,2019-02-21,2019-03-05,F32,18,F,90.1,0
P000084,Morgan Johnson,344-60-5286,1938-05-18,2023-02-16,2023-02-21,R07,85,F,132.6,0
P000085,Drew Brown,282-19-6797,1938-12-09,2021-09-11,2021-09-21,R07,83,M,25.1,1
P000086,Riley Brown,239-68-1776,1972-04-19,2020-02-27,2020-03-06,G47,48,F,177.1,0
P000087,Alex Johnson,112-71-9784,1950-11-04,2022-05-16,2022-05-19,K21,72,F,149.1,0
P000088,Casey Wilson,521-65-5453,1975-05-09,2023-07-02,2023-07-08,E11,48,F,198.8,0
P000089,Riley Davis,937-80-2875,1962-04-21,2019-07-26,2019-08-02,J18,57,F,142.9,0
P000090,Jamie Lopez,457-68-3457,1980-06-10,2023-03-16,2023-03-21,R07,43,F,132.2,0
P000091,Casey Lopez,612-80-8648,1979-04-13,2021-12-12,2021-12-24,E11,42,M,94.7,0
P000092,Cameron Brown,628-49-8076,1939-03-28,2020-10-25,2020-10-31,E11,81,F,139.4,0
P000093,Sam Davis,882-38-8687,1969-04-22,2021-12-30,2022-01-06,I10,52,F,123.0,0
P000094,Cameron Garcia,345-53-8915,1945-12-16,2022-05-31,2022-06-04,M54,77,M,124.5,0
P000095,Riley Wilson,846-58-3446,1949-03-27,2023-06-06,2023-06-18,J18,74,F,68.9,1
P000096,Alex Johnson,725-54-9342,1939-12-18,2024-03-10,2024-03-18,E11,85,M,54.0,0
P000097,Alex Smith,195-88-8467,1979-03-03,2019-06-15,2019-06-27,Z00,40,F,158.8,0
P000098,Sam Miller,963-68-7171,1974-03-21,2022-10-08,2022-10-17,G47,48,F,71.3,0
P000099,Jamie Brown,795-84-2622,1939-04-13,2020-05-04,2020-05-08,I10,81,F,113.5,0
P000100,Drew Wilson,935-10-5175,1982-08-14,2023-05-16,2023-05-25,K21,41,F,131.0,0
P000101,Sam Jones,588-21-7881,1981-03-27,2019-07-26,2019-07-30,M54,38,F,107.9,0
P000102,Casey Johnson,910-71-3212,1936-12-12,2021-01-12,2021-01-15,Z00,85,M,93.0,1
P000103,Cameron Williams,964-67-8069,1948-02-25,2020-07-27,2020-08-05,F32,72,M,44.8,1
P000104,Riley Wilson,622-14-3736,1953-07-17,2019-05-27,2019-06-04,J18,66,M,49.4,0
P000105,Casey Davis,421-30-4671,1966-06-17,2021-03-16,2021-03-26,I10,55,F,72.0,0
P000106,Cameron Wilson,832-85-8350,1933-06-16,2022-09-30,2022-10-03,G47,89,M,86.5,0
P000107,Drew Johnson,461-74-8554,1934-12-07,2024-10-30,2024-11-04,K21,90,M,106.3,0
P000108,Morgan Brown,612-43-6762,1934-07-10,2020-11-28,2020-12-10,Z00,86,F,116.1,0
P000109,Morgan Davis,937-95-8378,1973-12-12,2019-01-22,2019-01-31,J18,46,F,78.6,0
P000110,Jamie Wilson,844-57-5440,1990-09-13,2024-03-05,2024-03-15,G47,34,M,72.0,0
P000111,Drew Jones,381-29-3299,1993-10-21,2022-04-24,2022-04-28,M54,29,F,137.9,0
P000112,Riley Garcia,494-76-1186,1942-03-14,2023-05-09,2023-05-10,R07,81,F,152.6,0
P000113,Jordan Davis,281-96-8833,1963-04-12,2021-12-11,2021-12-25,R07,58,F,99.1,0
P000114,Morgan Johnson,309-63-3098,1962-03-04,2024-03-31,2024-04-01,J18,62,M,194.7,0
P000115,Cameron Jones,751-73-3185,2003-06-04,2023-10-02,2023-10-16,M54,20,M,93.1,0
P000116,Sam Garcia,319-56-8903,1934-06-29,2023-09-16,2023-09-27,R07,89,M,61.4,0
P000117,Riley Jones,462-51-5390,2004-03-07,2023-08-08,2023-08-16,J18,19,F,106.3,0
P000118,Jamie Garcia,335-93-5733,1986-01-02,2024-04-01,2024-04-13,N18,38,M,82.9,0
P000119,Riley Williams,508-97-7987,1941-05-12,2020-02-19,2020-02-26,M54,79,M,65.9,0
P000120,Sam Garcia,674-17-9251,1943-09-24,2023-10-05,2023-10-10,F32,80,F,69.8,0
P000121,Alex Johnson,728-95-3078,1961-05-01,2024-02-19,2024-02-20,E11,63,M,102.5,0
P000122,Drew Williams,452-76-4693,1954-04-29,2022-02-16,2022-02-22,E11,68,M,61.7,0
P000123,Sam Johnson,611-24-1803,1934-12-19,2022-11-24,2022-11-29,E11,88,F,110.3,0
P000124,Jamie Garcia,686-90-2109,1961-05-31,2019-02-20,2019-02-23,K21,58,F,98.7,0
P000125,Casey Williams,881-66-7786,1989-11-25,2023-01-19,2023-01-22,N18,34,M,124.2,0
P000126,Sam Lopez,318-59-4118,1931-03-02,2024-02-28,2024-03-04,E11,93,F,105.0,1
P000127,Cameron Johnson,561-45-9822,2000-03-29,2021-11-15,2021-11-25,N18,21,M,142.6,0
P000128,Riley Williams,109-77-9691,1943-07-14,2023-11-29,2023-12-10,F32,80,M,65.6,0
P000129,Riley Wilson,772-51-1576,1996-03-02,2020-03-13,2020-03-24,N18,24,M,72.1,0
P000130,Sam Jones,887-36-2318,1970-04-01,2021-08-22,2021-08-24,E11,51,M,169.3,0
P000131,Sam Johnson,695-84-2006,1939-08-01,2024-01-09,2024-01-21,E11,85,F,100.4,0
P000132,Riley Smith,827-97-2883,2003-09-10,2024-02-26,2024-03-02,F32,21,F,160.8,0
P000133,Sam Lopez,259-49-4537,1980-04-17,2024-03-06,2024-03-08,E11,44,F,118.1,0
P000134,Riley Garcia,229-42-3183,1944-06-20,2019-10-12,2019-10-24,E11,75,F,148.1,0
P000135,Drew Williams,363-64-6143,1991-11-07,2024-08-10,2024-08-13,J18,33,M,61.3,0
P000136,Casey Johnson,280-70-6285,1998-06-08,2024-12-18,2024-12-20,M54,26,F,81.9,0
P000137,Alex Garcia,582-30-4338,1946-05-17,2021-10-30,2021-11-10,K21,75,F,84.8,0
P000138,Morgan Jones,859-97-1028,1973-04-19,2024-11-12,2024-11-18,I10,51,M,93.5,0
P000139,Drew Miller,816-75-3614,1989-08-16,2019-04-07,2019-04-16,E11,30,M,33.4,0
P000140,Alex Smith,143-83-8721,1978-04-15,2019-07-26,2019-07-29,R07,41,M,64.6,0
P000141,Riley Williams,727-46-1356,1964-08-21,2020-10-02,2020-10-03,R07,56,M,155.4,0
P000142,Cameron Garcia,804-84-7382,1965-11-28,2023-04-15,2023-04-18,E11,58,M,100.3,0
P000143,Jordan Jones,196-37-2773,1976-08-04,2021-05-22,2021-06-01,I10,45,M,121.5,0
P000144,Cameron Jones,301-11-9443,1999-08-27,2021-02-19,2021-02-20,N18,22,F,120.2,1
P000145,Riley Jones,294-48-7244,1937-08-05,2024-01-25,2024-02-03,M54,87,F,134.4,0
P000146,Alex Williams,206-41-5239,1961-12-26,2023-11-24,2023-12-06,G47,62,F,88.6,0
P000147,Sam Lopez,483-57-6125,1936-02-06,2022-04-04,2022-04-07,I10,86,F,107.2,0
P000148,Casey Brown,527-36-3610,1966-02-24,2020-11-26,2020-12-01,Z00,54,F,143.0,0
P000149,Jamie Davis,784-36-1273,1959-11-29,2021-10-10,2021-10-12,G47,62,M,98.3,0
P000150,Taylor Brown,251-31-1103,1934-09-04,2021-11-03,2021-11-09,F32,87,F,108.3,0
P000151,Taylor Jones,759-94-9936,1986-03-22,2020-08-07,2020-08-15,M54,34,F,109.1,0
P000152,Alex Garcia,822-48-5686,1965-12-22,2019-11-25,2019-12-08,E11,54,M,137.7,0
P000153,Jordan Garcia,487-73-4580,2001-12-12,2023-11-07,2023-11-18,E11,22,M,95.8,0
P000154,Riley Miller,328-65-6966,1955-02-05,2019-06-23,2019-07-05,K21,64,M,100.0,0
P000155,Sam Brown,917-32-8065,1963-06-02,2022-09-12,2022-09-17,Z00,59,F,153.1,1
P000156,Jamie Lopez,495-39-3545,1978-02-16,2023-07-20,2023-08-02,I10,45,M,101.1,0
P000157,Drew Wilson,677-62-7118,1984-09-29,2024-12-17,2024-12-18,F32,40,M,79.8,0
P000158,Cameron Garcia,961-79-1217,1990-10-25,2020-01-07,2020-01-13,F32,30,F,91.1,0
P000159,Morgan Smith,601-77-1933,1939-03-02,2020-08-14,2020-08-23,M54,81,F,53.5,0
P000160,Sam Brown,247-67-6661,1994-10-06,2019-06-16,2019-06-25,K21,25,M,117.6,0
P000161,Jordan Wilson,948-11-3422,1931-02-16,2024-03-13,2024-03-22,F32,93,M,115.1,0
P000162,Morgan Jones,540-19-2844,1934-06-10,2022-12-12,2022-12-22,F32,88,F,82.0,0
P000163,Morgan Davis,423-74-6608,1972-04-01,2021-08-08,2021-08-09,M54,49,F,97.7,0
P000164,Sam Wilson,585-63-5810,1936-01-18,2020-11-17,2020-12-01,J18,84,F,77.7,0
P000165,Taylor Davis,835-99-2683,1944-01-19,2020-02-28,2020-03-06,R07,76,F,134.6,0
P000166,Jordan Lopez,753-13-5874,1938-09-11,2023-03-18,2023-03-26,Z00,85,M,91.1,1
P000167,Riley Lopez,282-50-6268,1964-04-08,2020-08-26,2020-09-06,M54,56,F,107.6,0
P000168,Taylor Smith,863-25-2824,1979-11-07,2019-10-06,2019-10-19,M54,40,M,90.4,0
P000169,Jordan Johnson,344-62-3884,1962-03-18,2020-08-31,2020-09-01,N18,58,F,112.5,0
P000170,Casey Miller,237-78-7052,1981-02-21,2022-12-02,2022-12-04,J18,41,M,46.0,0
P000171,Riley Johnson,498-23-5754,1933-03-23,2021-08-13,2021-08-14,E11,88,M,101.7,0
P000172,Sam Davis,348-33-3771,1975-11-25,2021-04-19,2021-05-01,G47,46,M,91.0,0
P000173,Jordan Williams,797-18-8423,1993-05-30,2019-09-18,2019-09-23,I10,26,M,79.2,0
P000174,Morgan Jones,155-66-9971,1986-03-20,2022-11-29,2022-12-12,Z00,36,M,109.0,0
P000175,Sam Williams,293-78-7809,1931-07-09,2020-12-06,2020-12-20,M54,89,M,79.4,0
P000176,Cameron Davis,920-32-1696,2004-10-17,2024-09-28,2024-10-06,Z00,20,M,75.3,1
P000177,Morgan Davis,409-28-7039,1958-11-16,2023-04-12,2023-04-15,F32,65,F,93.3,0
P000178,Morgan Garcia,529-72-9569,1962-03-19,2020-05-22,2020-06-05,G47,58,M,70.6,0
P000179,Alex Brown,865-39-2488,2005-09-06,2022-05-09,2022-05-15,F32,17,F,84.6,0
P000180,Cameron Garcia,506-53-8308,1961-05-18,2020-02-06,2020-02-18,G47,59,M,102.7,0
P000181,Jamie Johnson,262-32-2810,1965-05-20,2021-10-29,2021-11-04,I10,56,M,132.4,0
P000182,Jamie Garcia,510-41-4330,1976-12-30,2023-09-23,2023-09-28,G47,47,M,134.7,0
P000183,Sam Johnson,877-31-6417,1959-07-19,2024-04-02,2024-04-16,Z00,65,M,66.0,0
P000184,Riley Davis,561-99-5855,1992-08-17,2020-04-08,2020-04-09,F32,28,F,77.0,0
P000185,Alex Wilson,237-98-8808,1941-01-15,2023-11-18,2023-11-29,R07,82,M,63.8,0
P000186,Jamie Garcia,533-34-6871,1985-08-10,2024-06-06,2024-06-11,J18,39,F,176.6,0
P000187,Alex Williams,877-49-7191,1990-03-18,2019-11-01,2019-11-15,R07,29,M,97.6,0
P000188,Sam Garcia,830-33-9136,1996-05-22,2019-01-29,2019-02-11,I10,23,F,123.2,0
P000189,Casey Miller,273-91-9944,1934-10-29,2024-12-12,2024-12-16,M54,90,M,139.5,0
P000190,Drew Lopez,323-30-6355,1934-10-22,2023-05-28,2023-05-31,G47,89,F,131.8,0
P000191,Casey Williams,901-53-3014,1982-12-26,2022-07-01,2022-07-04,M54,40,F,112.6,0
P000192,Jordan Jones,450-98-9616,1982-08-28,2021-09-27,2021-10-06,Z00,39,M,139.1,0
P000193,Cameron Jones,980-76-1207,1987-02-15,2019-05-27,2019-06-03,R07,32,F,100.3,0
P000194,Morgan Garcia,470-75-1155,1983-12-12,2019-08-08,2019-08-21,R07,36,F,172.7,0
P000195,Drew Lopez,992-50-8736,1933-08-15,2019-09-21,2019-09-27,M54,86,F,93.9,0
P000196,Jamie Smith,927-95-2938,1938-03-03,2023-09-25,2023-10-03,F32,85,M,134.6,1
P000197,Riley Lopez,984-59-1325,1992-03-07,2024-02-22,2024-03-05,E11,32,F,92.7,0
P000198,Drew Davis,906-12-4519,1982-07-20,2024-06-15,2024-06-16,K21,42,F,134.7,0
P000199,Riley Williams,754-49-6452,2005-04-03,2019-02-26,2019-03-11,J18,14,F,136.9,0
P000200,Alex Brown,143-54-2146,1985-04-27,2021-07-21,2021-08-02,M54,36,F,148.8,0
